name	type	others	A	V	S	L
COL18A1	promoter_candidate	promoter_candidate290	1	0	0	0
COL18A1_ATG	promoter_candidate	promoter_candidate291	1	0	0	0
AGPAT2	promoter_candidate	promoter_candidate292	1	0	0	0
SCARA5	promoter_candidate	promoter_candidate293	1	0	0	0
CPE	promoter_candidate	promoter_candidate294	1	0	0	0
LINC01954	promoter_candidate	promoter_candidate295	1	0	0	0
ACTN1	promoter_candidate	promoter_candidate296	1	0	0	0
RBM38	promoter_candidate	promoter_candidate297	1	0	0	0
ADM	promoter_candidate	promoter_candidate298	1	0	0	0
RARRES2	promoter_candidate	promoter_candidate299	1	0	0	0
MUSTN1	promoter_candidate	promoter_candidate300	1	0	0	0
COL4A2	promoter_candidate	promoter_candidate301	1	0	0	0
TSPAN18	promoter_candidate	promoter_candidate302	1	0	0	0
MYH11	promoter_candidate	promoter_candidate304	1	0	0	0
TMEM176A	promoter_candidate	promoter_candidate305	0	0	0	1
RASD1	promoter_candidate	promoter_candidate306	1	0	0	0
TNNC2	promoter_candidate	promoter_candidate307	0	0	1	0
MYBPC1	promoter_candidate	promoter_candidate308	0	0	1	0
TNNI2	promoter_candidate	promoter_candidate309	0	0	1	0
MYL1	promoter_candidate	promoter_candidate310	0	0	1	0
MYLPF	promoter_candidate	promoter_candidate311	0	0	1	0
TNNT3	promoter_candidate	promoter_candidate312	0	0	1	0
PYGM	promoter_candidate	promoter_candidate313	0	0	1	0
MYOZ1	promoter_candidate	promoter_candidate314	0	0	1	0
MYH1	promoter_candidate	promoter_candidate315	0	0	1	0
CA3	promoter_candidate	promoter_candidate316	0	0	1	0
ATP2A1	promoter_candidate	promoter_candidate317	0	0	1	0
STAC3	promoter_candidate	promoter_candidate318	0	0	1	0
PDLIM3	promoter_candidate	promoter_candidate319	0	0	1	0
MYH2	promoter_candidate	promoter_candidate320	0	0	1	0
BIN1	promoter_candidate	promoter_candidate321	0	0	1	0
FHL3	promoter_candidate	promoter_candidate322	0	0	1	0
MYBPC2	promoter_candidate	promoter_candidate323	0	0	1	0
NEB	promoter_candidate	promoter_candidate324	0	0	1	0
TNNI1	promoter_candidate	promoter_candidate326	0	0	1	0
MYOT	promoter_candidate	promoter_candidate327	0	0	1	0
ATP1A2	promoter_candidate	promoter_candidate328	0	0	1	0
FBXO32	promoter_candidate	promoter_candidate329	0	0	1	0
PPP1R27	promoter_candidate	promoter_candidate331	0	0	1	0
TRDN	promoter_candidate	promoter_candidate332	0	0	1	0
SYNPO2	promoter_candidate	promoter_candidate333	0	0	1	0
KLHL40	promoter_candidate	promoter_candidate335	0	0	1	0
XIRP2_tv1	promoter_candidate	promoter_candidate336	0	0	1	0
XIRP2_tv2	promoter_candidate	promoter_candidate337	0	0	1	0
XIRP2_tv3	promoter_candidate	promoter_candidate338	0	0	1	0
SMTNL2_tv1	promoter_candidate	promoter_candidate339	0	0	1	0
SMTNL2_tv2	promoter_candidate	promoter_candidate340	0	0	1	0
ACSL1	promoter_candidate	promoter_candidate341	0	0	1	0
CAPN3	promoter_candidate	promoter_candidate342	0	0	1	0
CAP2	promoter_candidate	promoter_candidate343	0	0	1	0
PPP1R1A	promoter_candidate	promoter_candidate344	0	0	1	0
MYF6	promoter_candidate	promoter_candidate345	0	0	1	0
TMEM38A	promoter_candidate	promoter_candidate346	0	0	1	0
ASB2	promoter_candidate	promoter_candidate348	0	0	1	0
GAMT	promoter_candidate	promoter_candidate349	0	0	1	0
CACNG1	promoter_candidate	promoter_candidate350	0	0	1	0
AMPD1	promoter_candidate	promoter_candidate351	0	0	1	0
SYNM	promoter_candidate	promoter_candidate352	0	0	1	0
SMTNL1	promoter_candidate	promoter_candidate353	0	0	1	0
IDI2	promoter_candidate	promoter_candidate354	0	0	1	0
IP6K3	promoter_candidate	promoter_candidate355	0	0	1	0
OBSCN	promoter_candidate	promoter_candidate356	0	0	1	0
DUSP26	promoter_candidate	promoter_candidate359	0	0	1	0
TCEA3	promoter_candidate	promoter_candidate360	0	0	1	0
DDN	promoter_candidate	promoter_candidate362	0	0	1	0
LMOD3	promoter_candidate	promoter_candidate365	0	0	1	0
SLPI	promoter_candidate	promoter_candidate366	0	0	1	0
SLPI_ATG	promoter_candidate	promoter_candidate367	0	0	1	0
SYPL2	promoter_candidate	promoter_candidate368	0	0	1	0
UCP3	promoter_candidate	promoter_candidate369	0	0	1	0
JPH1	promoter_candidate	promoter_candidate370	0	0	1	0
FBP2	promoter_candidate	promoter_candidate371	0	0	1	0
ABLIM2	promoter_candidate	promoter_candidate372	0	0	1	0
TXLNB	promoter_candidate	promoter_candidate373	0	0	1	0
DUSP13	promoter_candidate	promoter_candidate374	0	0	1	0
SYNPO2L	promoter_candidate	promoter_candidate375	0	0	1	0
PKIA	promoter_candidate	promoter_candidate376	0	0	1	0
MYPN_tv1	promoter_candidate	promoter_candidate377	0	0	1	0
MYPN_tv2	promoter_candidate	promoter_candidate378	0	0	1	0
PFN2	promoter_candidate	promoter_candidate379	0	0	1	0
PFN2_ATG	promoter_candidate	promoter_candidate380	0	0	1	0
USP13	promoter_candidate	promoter_candidate381	0	0	1	0
MAP3K20	promoter_candidate	promoter_candidate383	0	0	1	0
DDIT4L	promoter_candidate	promoter_candidate384	0	0	1	0
KLHL30	promoter_candidate	promoter_candidate385	0	0	1	0
ACTN3	promoter_candidate	promoter_candidate386	0	0	1	0
CACNA1S	promoter_candidate	promoter_candidate387	0	0	1	0
SCN1B	promoter_candidate	promoter_candidate388	0	0	1	0
MYH14	promoter_candidate	promoter_candidate389	0	0	1	0
RTN2	promoter_candidate	promoter_candidate390	0	0	1	0
PLIN2	promoter_candidate	promoter_candidate391	0	0	1	0
IMPA2	promoter_candidate	promoter_candidate392	0	0	1	0
LRRC20_tv1	promoter_candidate	promoter_candidate393	0	0	1	0
LRRC20_tv2	promoter_candidate	promoter_candidate394	0	0	1	0
CACNB1	promoter_candidate	promoter_candidate395	0	0	1	0
SPTB	promoter_candidate	promoter_candidate396	0	0	1	0
ACACB_tv1	promoter_candidate	promoter_candidate397	0	0	1	0
ACACB_tv1ATG	promoter_candidate	promoter_candidate398	0	0	1	0
ACACB_tv2	promoter_candidate	promoter_candidate399	0	0	1	0
TSPAN7	promoter_candidate	promoter_candidate400	0	0	1	0
PDLIM7	promoter_candidate	promoter_candidate402	0	0	1	0
SNN	promoter_candidate	promoter_candidate405	0	0	1	0
SLC29A2	promoter_candidate	promoter_candidate406	0	0	1	0
CAND2	promoter_candidate	promoter_candidate407	0	0	1	0
ART3	promoter_candidate	promoter_candidate410	0	0	1	0
C10orf71	promoter_candidate	promoter_candidate411	0	0	1	0
KCNJ11	promoter_candidate	promoter_candidate412	0	0	1	0
CLTCL1	promoter_candidate	promoter_candidate413	0	0	1	0
POPDC3	promoter_candidate	promoter_candidate416	0	0	1	0
TMEM52	promoter_candidate	promoter_candidate417	0	0	1	0
SCN4A	promoter_candidate	promoter_candidate418	0	0	1	0
FAM166B	promoter_candidate	promoter_candidate419	0	0	1	0
STYXL2	promoter_candidate	promoter_candidate420	0	0	1	0
USP2_tv1	promoter_candidate	promoter_candidate421	0	0	1	0
USP2_tv2	promoter_candidate	promoter_candidate422	0	0	1	0
SPEG	promoter_candidate	promoter_candidate424	0	0	1	0
ECHDC3	promoter_candidate	promoter_candidate425	0	0	1	0
MLIP_tv1	promoter_candidate	promoter_candidate426	0	0	1	0
MLIP_tv1ATG	promoter_candidate	promoter_candidate427	0	0	1	0
MLIP_tv2	promoter_candidate	promoter_candidate428	0	0	1	0
ALB_tv1	promoter_candidate	promoter_candidate429	0	0	0	1
ALB_tv2	promoter_candidate	promoter_candidate430	0	0	0	1
ALB_tv3	promoter_candidate	promoter_candidate431	0	0	0	1
ALB_tv3ATG	promoter_candidate	promoter_candidate432	0	0	0	1
HP_tv1	promoter_candidate	promoter_candidate433	0	0	0	1
HP_tv2	promoter_candidate	promoter_candidate434	0	0	0	1
SAA1	promoter_candidate	promoter_candidate435	0	0	0	1
ORM1_ORM2	promoter_candidate	promoter_candidate436	0	0	0	1
ORM1_ORM2_ATG	promoter_candidate	promoter_candidate437	0	0	0	1
APOC3	promoter_candidate	promoter_candidate438	0	0	0	1
FGB	promoter_candidate	promoter_candidate439	0	0	0	1
FGG_tv1	promoter_candidate	promoter_candidate440	0	0	0	1
FGG_tv2	promoter_candidate	promoter_candidate441	0	0	0	1
FGG_tv2ATG	promoter_candidate	promoter_candidate442	0	0	0	1
APOA1	promoter_candidate	promoter_candidate443	0	0	0	1
CRP	promoter_candidate	promoter_candidate444	0	0	0	1
APOA2	promoter_candidate	promoter_candidate445	0	0	0	1
FGA	promoter_candidate	promoter_candidate446	0	0	0	1
RBP4	promoter_candidate	promoter_candidate447	0	0	0	1
AMBP	promoter_candidate	promoter_candidate450	0	0	0	1
APOH	promoter_candidate	promoter_candidate451	0	0	0	1
APOH_ATG	promoter_candidate	promoter_candidate452	0	0	0	1
APOC1	promoter_candidate	promoter_candidate453	0	0	0	1
TTR	promoter_candidate	promoter_candidate454	0	0	0	1
VTN	promoter_candidate	promoter_candidate455	0	0	0	1
CYP2E1	promoter_candidate	promoter_candidate456	0	0	0	1
CYP2E1_ATG	promoter_candidate	promoter_candidate457	0	0	0	1
ALDOB_tv1	promoter_candidate	promoter_candidate458	0	0	0	1
ALDOB_tv2	promoter_candidate	promoter_candidate459	0	0	0	1
HPX	promoter_candidate	promoter_candidate460	0	0	0	1
HPX_ATG	promoter_candidate	promoter_candidate461	0	0	0	1
SAA2	promoter_candidate	promoter_candidate462	0	0	0	1
APCS	promoter_candidate	promoter_candidate465	0	0	0	1
TF	promoter_candidate	promoter_candidate466	0	0	0	1
TF_ATG	promoter_candidate	promoter_candidate467	0	0	0	1
ATF5	promoter_candidate	promoter_candidate472	0	0	0	1
FGL1	promoter_candidate	promoter_candidate473	0	0	0	1
MT1G	promoter_candidate	promoter_candidate474	0	0	0	1
SERPINF2	promoter_candidate	promoter_candidate475	0	0	0	1
CFB	promoter_candidate	promoter_candidate476	0	0	0	1
SERPINC1	promoter_candidate	promoter_candidate477	0	0	0	1
HPD	promoter_candidate	promoter_candidate479	0	0	0	1
HPD_ATG	promoter_candidate	promoter_candidate480	0	0	0	1
GC_tv1	promoter_candidate	promoter_candidate481	0	0	0	1
GC_tv2	promoter_candidate	promoter_candidate482	0	0	0	1
AZGP1	promoter_candidate	promoter_candidate483	0	0	0	1
MAT1A	promoter_candidate	promoter_candidate484	0	0	0	1
HMGCS2	promoter_candidate	promoter_candidate485	0	0	0	1
LBP	promoter_candidate	promoter_candidate486	0	0	0	1
FABP1	promoter_candidate	promoter_candidate487	0	0	0	1
FABP1_ATG	promoter_candidate	promoter_candidate488	0	0	0	1
ANG	promoter_candidate	promoter_candidate489	0	0	0	1
ITIH3	promoter_candidate	promoter_candidate490	0	0	0	1
NNMT	promoter_candidate	promoter_candidate492	0	0	0	1
LRG1	promoter_candidate	promoter_candidate493	0	0	0	1
F2	promoter_candidate	promoter_candidate494	0	0	0	1
C1S	promoter_candidate	promoter_candidate495	0	0	0	1
