L_1	L_2	L_3	L_4	L_5	L2_1	L2_2,	L2_3	L2_4	L2_5
AKR7A3:::AAG	0.0867669889004122	0.240398688209316	0.219115087747374	0.248495270488314	0.323518256448535	-0.403258502909315	-0.317756928536137	-0.158297113988515	-0.193761369415743	-0.334271329957177
AKR7A3:::CCT	-0.364860488424433	-0.435863935678438	-0.494954687609957	-0.493069935905222	-0.424498712923135	-0.420489338781958	-0.475085223578816	-0.799246501035097	-0.712327715764872	-0.512677885421278
ALB_tv1:::AAG	-0.96978650555013	-0.841042540741894	-0.574835929626864	-0.816440182836802	-0.871369902286867	-0.635011901558879	-0.446131186797981	-0.303562906033314	-0.536894254756938	-0.538777232349919
ALB_tv1:::CCT	-1.28715068975187	-1.53742262503469	-1.52440647313878	-1.21453393872288	-1.37701697798007	-0.603975568877229	-0.738614442820397	-0.695709327953673	-0.517491953092632	-0.715169596816537
ALB_tv2:::AAG	1.07004276347231	1.06129721618612	1.00030333397913	1.01662072029975	1.13241676571044	1.11977889377479	1.19987404383919	0.99223135963968	1.15096402387236	1.20671001189944
ALB_tv2:::CCT	1.56931913816441	1.71664953984875	1.50750323873189	1.61448331318498	1.68287290294379	1.98736198143033	1.99284180049098	1.93491750664771	1.90242437792952	2.02758932620139
ALB_tv3:::AAG	0.720657189786074	0.804510909798596	0.64602505962111	0.765585444834124	0.757672450170875	0.881407297232103	0.783398932849607	0.713085021884171	0.842281014094346	0.815228583215206
ALB_tv3:::CCT	1.29649557630203	1.3274208782547	1.19380118098237	1.17037427749369	1.31360032474186	1.72009520435237	1.77034246284069	1.7098568148367	1.69144682654366	1.59806568433023
ALB_tv3ATG:::AAG	1.34714997553148	1.49671272442579	1.38765150926847	1.55102224934467	1.5187980120077	1.41365816049863	1.64195919678689	1.47428469362663	1.66587926348865	1.52772868573491
ALB_tv3ATG:::CCT	2.13282986769063	2.22538250528258	2.07902330799461	2.08910274247639	2.19085500467187	2.42790492899073	2.47518693302443	2.37671580428712	2.30974739023947	2.40264499552007
ALDH1L1:::AAG	0.343767817744235	0.323893983449564	0.347368983822384	0.429203059778444	0.429602186239722	0.0413992159584023	-0.0173194251342295	-0.0184852896226519	0.00472010460534098	0.00626528309090947
ALDH1L1:::CCT	0.208570962149365	0.0841536288190768	0.039297772013504	0.0904880967730144	0.210096662294074	0.161837989897267	0.0771205043530077	-0.0104042549524372	0.0605255538497409	0.121709871065609
ALDH4A1:::AAG	-0.689962947497247	-0.526887603032903	-0.472165383680442	-0.397241297030126	-0.428277216655288	-0.722457304749916	-0.791084556049716	-0.607329628477966	-0.624623553617958	-0.625269975324037
ALDH4A1:::CCT	-1.35671644123653	-1.41892037787706	-1.48348572847939	-1.40080288995598	-1.30941558854475	-1.14088408900319	-1.12898351517694	-1.21680341754558	-1.12090694998559	-1.02517180978362
ALDH8A1_ATG:::AAG	-0.233750624316016	-0.091519256010956	-0.123574471828949	0.0143435770652703	-0.0536628232884602	-0.19323398177007	-0.207753518460728	-0.113271737569558	-0.142743882595883	-0.16235177647755
ALDH8A1_ATG:::CCT	-0.770412293880751	-0.868290862049545	-1.01625366025684	-0.871874630032509	-0.92497054111145	-0.484391052253807	-0.573800972025131	-0.599372022112276	-0.463433493305513	-0.593013615171076
ALDH8A1:::AAG	0.0221736157305392	0.00728640231909131	0.0567806459331073	0.188502304316682	0.117296874553693	0.0349992769557259	-0.0891447676372989	-0.1150126325268	0.134728276944354	0.0122705417634069
ALDH8A1:::CCT	-0.616589938138818	-0.59158586846147	-0.727740872590458	-0.654059300427805	-0.668639441493313	-0.266355186634201	-0.19882030829885	-0.466922124270359	-0.326048599755863	-0.316802143660554
ALDOB_tv1:::AAG	0.231874170183584	0.241475367835625	0.475347096311389	0.549763306944535	0.441569062881852	0.412085111505581	0.733918703272275	0.604159133407545	0.607337978734776	0.25324383338325
ALDOB_tv1:::CCT	0.802326820515729	0.635002305850059	0.630127970558045	0.638631419659155	0.554673605204201	1.38574018091269	1.09799083514428	0.863537286306668	1.01623679275525	1.02433997622144
